code_region,region,rang_vaccinal,date_debut_semaine,nb
84,ARA,1,2021-01-18,48788
84,ARA,2,2021-01-18,32
84,ARA,1,2021-01-25,48257
84,ARA,2,2021-01-25,3567
84,ARA,1,2021-02-01,33764
84,ARA,2,2021-02-01,14570
84,ARA,1,2021-02-08,37147
84,ARA,2,2021-02-08,23757
84,ARA,1,2021-02-15,21691
84,ARA,2,2021-02-15,45568
84,ARA,1,2021-02-22,23656
84,ARA,2,2021-02-22,46361
84,ARA,1,2021-03-01,58669
84,ARA,2,2021-03-01,33147
84,ARA,1,2021-03-08,65132
84,ARA,2,2021-03-08,29659
84,ARA,1,2021-03-15,90152
84,ARA,2,2021-03-15,16379
84,ARA,1,2021-03-22,88504
84,ARA,2,2021-03-22,20974
84,ARA,1,2021-03-29,33858
84,ARA,2,2021-03-29,48492
84,ARA,1,2021-04-05,15658
84,ARA,2,2021-04-05,57785
84,ARA,1,2021-04-12,8652
84,ARA,2,2021-04-12,91828
84,ARA,1,2021-04-19,4288
84,ARA,2,2021-04-19,79691
27,BFC,1,2021-01-18,27185
27,BFC,2,2021-01-18,12
27,BFC,1,2021-01-25,25787
27,BFC,2,2021-01-25,2399
27,BFC,1,2021-02-01,18222
27,BFC,2,2021-02-01,6132
27,BFC,1,2021-02-08,13833
27,BFC,2,2021-02-08,9949
27,BFC,1,2021-02-15,5554
27,BFC,2,2021-02-15,24154
27,BFC,1,2021-02-22,4009
27,BFC,2,2021-02-22,23652
27,BFC,1,2021-03-01,20646
27,BFC,2,2021-03-01,17236
27,BFC,1,2021-03-08,23849
27,BFC,2,2021-03-08,12776
27,BFC,1,2021-03-15,33385
27,BFC,2,2021-03-15,3945
27,BFC,1,2021-03-22,42945
27,BFC,2,2021-03-22,3431
27,BFC,1,2021-03-29,11196
27,BFC,2,2021-03-29,17344
27,BFC,1,2021-04-05,5007
27,BFC,2,2021-04-05,21888
27,BFC,1,2021-04-12,1360
27,BFC,2,2021-04-12,33714
27,BFC,1,2021-04-19,703
27,BFC,2,2021-04-19,42143
53,BRE,1,2021-01-18,16756
53,BRE,2,2021-01-18,23
53,BRE,1,2021-01-25,15105
53,BRE,2,2021-01-25,1574
