"code_region","libelle_region","date_fin_semaine","type_de_vaccin","nb_ucd","nb_doses"
"84","ARA",2020-12-29,"Pfizer",0,0
"84","ARA",2021-01-03,"Pfizer",975,4875
"84","ARA",2021-01-10,"Pfizer",11843,59215
"84","ARA",2021-01-17,"Pfizer",12167,60835
"84","ARA",2021-01-24,"Pfizer",5808,32745
"84","ARA",2021-01-31,"Pfizer",11122,64775
"84","ARA",2021-02-07,"Pfizer",12415,71240
"84","ARA",2021-02-14,"Pfizer",12248,70405
"84","ARA",2021-02-21,"Pfizer",13798,80300
"84","ARA",2021-02-28,"Pfizer",16998,97860
"84","ARA",2021-03-07,"Pfizer",15314,90610
"84","ARA",2021-03-14,"Pfizer",14632,87005
"84","ARA",2021-03-21,"Pfizer",16057,94715
"27","BFC",2020-12-29,"Pfizer",0,0
"27","BFC",2021-01-03,"Pfizer",1365,6825
"27","BFC",2021-01-10,"Pfizer",9750,48750
"27","BFC",2021-01-17,"Pfizer",6240,31200
"27","BFC",2021-01-24,"Pfizer",1061,5695
"27","BFC",2021-01-31,"Pfizer",4315,24890
"27","BFC",2021-02-07,"Pfizer",3315,19890
"27","BFC",2021-02-14,"Pfizer",4932,28755
"27","BFC",2021-02-21,"Pfizer",5319,30690
"27","BFC",2021-02-28,"Pfizer",4875,29250
"27","BFC",2021-03-07,"Pfizer",4930,29330
"27","BFC",2021-03-14,"Pfizer",4998,29670
"27","BFC",2021-03-21,"Pfizer",5265,31590
"53","BRE",2020-12-29,"Pfizer",0,0
"53","BRE",2021-01-03,"Pfizer",2535,12675
"53","BRE",2021-01-10,"Pfizer",975,4875
"53","BRE",2021-01-17,"Pfizer",2730,13650
"53","BRE",2021-01-24,"Pfizer",9092,51310
"53","BRE",2021-01-31,"Pfizer",6022,34790
"53","BRE",2021-02-07,"Pfizer",5391,31245
"53","BRE",2021-02-14,"Pfizer",8493,46755
"53","BRE",2021-02-21,"Pfizer",6663,38385
"53","BRE",2021-02-28,"Pfizer",7549,43985
"53","BRE",2021-03-07,"Pfizer",7149,41595
"53","BRE",2021-03-14,"Pfizer",6588,39180
"53","BRE",2021-03-21,"Pfizer",8133,48465
"94","COR",2020-12-29,"Pfizer",0,0
"94","COR",2021-01-03,"Pfizer",0,0
"94","COR",2021-01-10,"Pfizer",442,2210
"94","COR",2021-01-17,"Pfizer",780,3900
"94","COR",2021-01-24,"Pfizer",780,4680
"94","COR",2021-01-31,"Pfizer",780,4680
"94","COR",2021-02-07,"Pfizer",780,4680
"94","COR",2021-02-14,"Pfizer",780,4680
"94","COR",2021-02-21,"Pfizer",780,4680
"94","COR",2021-02-28,"Pfizer",1365,8190
"94","COR",2021-03-07,"Pfizer",1365,8190
"94","COR",2021-03-14,"Pfizer",1170,7020
"94","COR",2021-03-21,"Pfizer",1170,7020
"24","CVL",2020-12-29,"Pfizer",0,0
"24","CVL",2021-01-03,"Pfizer",0,0
"24","CVL",2021-01-10,"Pfizer",4898,24490
"24","CVL",2021-01-17,"Pfizer",4680,23400
"24","CVL",2021-01-24,"Pfizer",2393,12550
"24","CVL",2021-01-31,"Pfizer",4122,23730
"24","CVL",2021-02-07,"Pfizer",3120,18720
"24","CVL",2021-02-14,"Pfizer",5355,29895
"24","CVL",2021-02-21,"Pfizer",5106,29430
"24","CVL",2021-02-28,"Pfizer",4485,26910
"24","CVL",2021-03-07,"Pfizer",5376,31560
"24","CVL",2021-03-14,"Pfizer",4961,29485
"24","CVL",2021-03-21,"Pfizer",4737,28365
"01","GDP",2020-12-29,"Pfizer",0,0
"01","GDP",2021-01-03,"Pfizer",0,0
"01","GDP",2021-01-10,"Pfizer",1170,5850
"01","GDP",2021-01-17,"Pfizer",0,0
"01","GDP",2021-01-24,"Pfizer",390,2340
"01","GDP",2021-01-31,"Pfizer",390,2340
"01","GDP",2021-02-07,"Pfizer",390,2340
"01","GDP",2021-02-14,"Pfizer",585,3510
"01","GDP",2021-02-21,"Pfizer",585,3510
"01","GDP",2021-02-28,"Pfizer",585,3510
"01","GDP",2021-03-07,"Pfizer",585,3510
"01","GDP",2021-03-14,"Pfizer",585,3510
"01","GDP",2021-03-21,"Pfizer",585,3510
"44","GES",2020-12-29,"Pfizer",0,0
"44","GES",2021-01-03,"Pfizer",2340,11700
"44","GES",2021-01-10,"Pfizer",8009,40045
"44","GES",2021-01-17,"Pfizer",7787,38935
"44","GES",2021-01-24,"Pfizer",5374,30185
"44","GES",2021-01-31,"Pfizer",8780,50335
"44","GES",2021-02-07,"Pfizer",9625,54560
"44","GES",2021-02-14,"Pfizer",9103,51950
"44","GES",2021-02-21,"Pfizer",13211,76585
"44","GES",2021-02-28,"Pfizer",12379,73010
"44","GES",2021-03-07,"Pfizer",11424,67650
"44","GES",2021-03-14,"Pfizer",9965,58990
"44","GES",2021-03-21,"Pfizer",13098,78555
"03","GUY",2020-12-29,"Pfizer",0,0
"03","GUY",2021-01-03,"Pfizer",0,0
"03","GUY",2021-01-10,"Pfizer",0,0
"03","GUY",2021-01-17,"Pfizer",195,975
"03","GUY",2021-01-24,"Pfizer",195,1170
"03","GUY",2021-01-31,"Pfizer",195,1170
"03","GUY",2021-02-07,"Pfizer",390,2340
"03","GUY",2021-02-14,"Pfizer",195,1170
"03","GUY",2021-02-21,"Pfizer",195,1170
"03","GUY",2021-02-28,"Pfizer",195,1170
"03","GUY",2021-03-07,"Pfizer",195,1170
"03","GUY",2021-03-14,"Pfizer",195,1170
"03","GUY",2021-03-21,"Pfizer",390,2340
"32","HDF",2020-12-29,"Pfizer",0,0
"32","HDF",2021-01-03,"Pfizer",0,0
"32","HDF",2021-01-10,"Pfizer",7860,39300
"32","HDF",2021-01-17,"Pfizer",6630,33150
"32","HDF",2021-01-24,"Pfizer",6538,37565
"32","HDF",2021-01-31,"Pfizer",7327,41900
"32","HDF",2021-02-07,"Pfizer",8284,48245
"32","HDF",2021-02-14,"Pfizer",7301,41770
"32","HDF",2021-02-21,"Pfizer",7989,45405
"32","HDF",2021-02-28,"Pfizer",9491,55255
"32","HDF",2021-03-07,"Pfizer",13524,80490
"32","HDF",2021-03-14,"Pfizer",12290,72760
"32","HDF",2021-03-21,"Pfizer",12304,73220
"11","IDF",2020-12-29,"Pfizer",0,0
"11","IDF",2021-01-03,"Pfizer",3705,18525
